[Date "2017.09.15"]
[Player1 "Johnny3Stacks"]
[Player2 "Johnny4Deep"]
[Result "0-R"]
[Size "5"]
1. e2 e4
2. d3 d2
3. Cc3 a4
4. d1 b4
5. a3 b2
6. b3 1d2+1
7. 1c3>1 1a4-1
8. 1b3<1 c5
9. 1e4-1 1b2>1
10. 2a3+2 1b4<1
11. 1a3+1 e1
12. 3d3-3 d4
13. 4a4+4 Cb5
14. 4a5-22 1e2+1
15. d5 1e1<1
16. Se5 e4
17. 2d2-2 b3
18. 1d5-1 b4
19. 4d1>4 Se2
20. 2a3-11 1c2>1
21. 2d4-11 b1
22. Sb2 1d3-1
23. 4e1<22 Sc3
24. Sd3 c2
25. 1d3-1 Sd5
26. 1b2+1 Sb2
27. 2b3<2 b3
28. 2c1>11 1b1<1
29. 5d2-5 1e4<1
30. 1e1<1 1b2-1
31. Sb2 Sd2
32. 2a3+11 a3
